Time (hr),Latitude,Longitude
12.743464275941884,-24.133921531688106,-60.84807938359384
12.839470746178174,-24.36415037422794,-64.43822239664365
12.932936397475139,-24.569076047178118,-68.05609476838995
13.023871944422226,-24.745944153119034,-71.70440540776544
13.112292540271657,-24.89175334765009,-75.38586183623752
13.198217750354459,-25.00324600563943,-79.10313636655425
13.281671517756237,-25.07690175775789,-82.85882818837388
13.36268212131285,-25.108934863851417,-86.65542171836901
13.441282125999745,-25.09529653420223,-90.49524186382423
13.517508325801911,-25.031683445423457,-94.38040719635578
13.591401679164724,-24.913553812658222,-98.31278242663936
13.663007237138928,-24.736152459248938,-102.29393199282636
13.732374064345768,-24.49454635224665,-106.32507699418932
13.79955515290099,-24.18367202898764,-110.40705807484761
13.86460732944865,-23.79839620875533,-114.54030713654421
13.92759115546787,-23.33359064887729,-118.72483087325817
13.988570821027439,-22.784221955680092,-122.96020901192588
14.0476140321746,-22.145456593501187,-127.24560975918975
14.104791892155658,-21.4127807538046,-131.57982426018168
14.160178776676705,-20.58213406475977,-135.96132086934992
14.21385220342337,-19.650055361149168,-140.38831875260314
14.265892696068452,-18.61383792316995,-144.85887886499987
14.316383643006052,-17.471690761888524,-149.3710087976102
14.36541115105996,-16.222901710326898,-153.92277650477473
14.413063894423066,-14.867997302143536,-158.51242665705172
14.45943295909267,-13.408893712579223,-163.13849244479422
14.504611683074694,-11.84903242745055,-167.79989517130906
14.548695492637108,-10.19349382947214,-172.49602395810555
14.591781734899834,-8.449081591430158,-177.22678831868961
14.633969507054807,-6.624370700850133,178.0073628193661
14.675359482515832,-4.729712181984682,173.2054609310792
14.716053734303214,-2.7771882060596513,168.36608046167197
14.756155555972985,-0.780512362315698,163.48744647108856
14.795769280404917,1.2451285478230565,158.56758785665977
14.835000096767192,3.283292717568456,153.60453450582565
14.873953865978855,5.316560460763417,148.59655413038718
14.912736934993806,7.3268661584833294,143.54242135947322
14.951455950232077,9.295877627415043,138.44170787000996
14.990217670485801,11.20541209225886,133.29507802058004
15.029128779628008,13.037874603598988,128.10456998610294
15.068295699452843,14.77670171162806,122.87383843660467
